split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,liver_10_339_CT_liver_tumor.png,"(512, 512)",3180,"(766, 426, 63, 67)",9
train,liver_10_340_CT_liver_liver.png,"(512, 512)",36756,"(712, 358, 177, 331)",3
train,liver_10_340_CT_liver_tumor.png,"(512, 512)",3240,"(766, 426, 63, 69)",9
train,liver_10_341_CT_liver_liver.png,"(512, 512)",38548,"(706, 354, 183, 339)",3
train,liver_10_341_CT_liver_tumor.png,"(512, 512)",3260,"(766, 426, 63, 71)",10
train,liver_10_342_CT_liver_liver.png,"(512, 512)",40420,"(700, 352, 191, 345)",3
train,liver_10_342_CT_liver_tumor.png,"(512, 512)",3212,"(766, 428, 61, 71)",9
train,liver_10_343_CT_liver_liver.png,"(512, 512)",42412,"(694, 350, 197, 347)",3
train,liver_10_343_CT_liver_tumor.png,"(512, 512)",2956,"(768, 428, 59, 69)",9
train,liver_10_344_CT_liver_liver.png,"(512, 512)",44208,"(692, 348, 201, 351)",3
train,liver_10_344_CT_liver_tumor.png,"(512, 512)",2640,"(772, 428, 53, 67)",8
train,liver_10_345_CT_liver_liver.png,"(512, 512)",46252,"(686, 346, 207, 355)",4
train,liver_10_345_CT_liver_tumor.png,"(512, 512)",2352,"(772, 430, 51, 63)",7
train,liver_10_346_CT_liver_liver.png,"(512, 512)",48128,"(682, 344, 213, 359)",4
train,liver_10_346_CT_liver_tumor.png,"(512, 512)",2100,"(774, 432, 47, 57)",6
train,liver_10_347_CT_liver_liver.png,"(512, 512)",49612,"(676, 342, 219, 361)",4
train,liver_10_347_CT_liver_tumor.png,"(512, 512)",1980,"(762, 414, 57, 71)",6
train,liver_10_348_CT_liver_liver.png,"(512, 512)",51212,"(672, 340, 225, 365)",4
train,liver_10_348_CT_liver_tumor.png,"(512, 512)",1856,"(760, 414, 57, 69)",5
train,liver_10_349_CT_liver_liver.png,"(512, 512)",52848,"(670, 340, 227, 367)",4
train,liver_10_349_CT_liver_tumor.png,"(512, 512)",1540,"(760, 412, 51, 67)",4
train,liver_10_350_CT_liver_liver.png,"(512, 512)",54540,"(664, 338, 233, 371)",4
train,liver_10_350_CT_liver_tumor.png,"(512, 512)",1232,"(758, 412, 49, 65)",3
train,liver_10_351_CT_liver_liver.png,"(512, 512)",56296,"(662, 338, 237, 371)",5
train,liver_10_351_CT_liver_tumor.png,"(512, 512)",764,"(758, 412, 29, 31)",2
train,liver_10_352_CT_liver_liver.png,"(512, 512)",57352,"(660, 338, 239, 373)",5
train,liver_10_352_CT_liver_tumor.png,"(512, 512)",780,"(756, 412, 31, 33)",2
train,liver_10_353_CT_liver_liver.png,"(512, 512)",58976,"(656, 336, 245, 375)",5
train,liver_10_353_CT_liver_tumor.png,"(512, 512)",780,"(758, 410, 29, 35)",2
train,liver_10_354_CT_liver_liver.png,"(512, 512)",60544,"(654, 334, 247, 379)",5
train,liver_10_354_CT_liver_tumor.png,"(512, 512)",804,"(756, 410, 31, 37)",2
train,liver_10_355_CT_liver_liver.png,"(512, 512)",61888,"(652, 334, 249, 381)",5
train,liver_10_355_CT_liver_tumor.png,"(512, 512)",776,"(756, 412, 31, 35)",2
train,liver_10_356_CT_liver_liver.png,"(512, 512)",63288,"(650, 334, 251, 383)",5
train,liver_10_356_CT_liver_tumor.png,"(512, 512)",664,"(758, 414, 27, 33)",2
train,liver_10_357_CT_liver_liver.png,"(512, 512)",64812,"(648, 332, 255, 387)",5
train,liver_10_357_CT_liver_tumor.png,"(512, 512)",584,"(758, 416, 25, 29)",1
train,liver_10_358_CT_liver_liver.png,"(512, 512)",66156,"(644, 330, 259, 391)",5
train,liver_10_358_CT_liver_tumor.png,"(512, 512)",492,"(758, 418, 21, 25)",1
train,liver_10_359_CT_liver_liver.png,"(512, 512)",67852,"(642, 328, 261, 393)",6
train,liver_10_360_CT_liver_liver.png,"(512, 512)",69084,"(640, 326, 263, 397)",6
train,liver_10_361_CT_liver_liver.png,"(512, 512)",70248,"(638, 326, 265, 399)",6
train,liver_10_362_CT_liver_liver.png,"(512, 512)",71112,"(636, 326, 269, 399)",6
train,liver_10_363_CT_liver_liver.png,"(512, 512)",71808,"(634, 324, 271, 403)",6
train,liver_10_364_CT_liver_liver.png,"(512, 512)",72552,"(632, 324, 273, 405)",6
train,liver_10_365_CT_liver_liver.png,"(512, 512)",73164,"(632, 322, 275, 407)",6
train,liver_10_366_CT_liver_liver.png,"(512, 512)",73784,"(630, 320, 277, 411)",6
train,liver_10_367_CT_liver_liver.png,"(512, 512)",74460,"(628, 320, 281, 411)",6
train,liver_10_368_CT_liver_liver.png,"(512, 512)",74680,"(628, 320, 281, 413)",6
train,liver_10_369_CT_liver_liver.png,"(512, 512)",74868,"(626, 320, 283, 413)",6
train,liver_10_369_CT_liver_tumor.png,"(512, 512)",516,"(788, 544, 27, 29)",1
train,liver_10_370_CT_liver_liver.png,"(512, 512)",74820,"(626, 320, 283, 413)",6
train,liver_10_370_CT_liver_tumor.png,"(512, 512)",928,"(786, 544, 33, 33)",2
train,liver_10_371_CT_liver_liver.png,"(512, 512)",74800,"(624, 320, 287, 415)",6
train,liver_10_371_CT_liver_tumor.png,"(512, 512)",1144,"(784, 544, 39, 35)",3
train,liver_10_372_CT_liver_liver.png,"(512, 512)",74784,"(622, 320, 289, 415)",6
train,liver_10_372_CT_liver_tumor.png,"(512, 512)",1404,"(778, 542, 49, 39)",4
train,liver_10_373_CT_liver_liver.png,"(512, 512)",74724,"(622, 320, 289, 413)",6
train,liver_10_373_CT_liver_tumor.png,"(512, 512)",1696,"(774, 542, 55, 43)",5
train,liver_10_374_CT_liver_liver.png,"(512, 512)",74868,"(620, 318, 293, 413)",6
train,liver_10_374_CT_liver_tumor.png,"(512, 512)",1832,"(774, 540, 55, 45)",5
train,liver_10_375_CT_liver_liver.png,"(512, 512)",75128,"(614, 316, 299, 415)",6
train,liver_10_375_CT_liver_tumor.png,"(512, 512)",1884,"(774, 540, 55, 45)",5
train,liver_10_376_CT_liver_liver.png,"(512, 512)",75160,"(614, 314, 301, 417)",6
train,liver_10_376_CT_liver_tumor.png,"(512, 512)",1892,"(776, 538, 53, 47)",5
train,liver_10_377_CT_liver_liver.png,"(512, 512)",75132,"(614, 314, 301, 419)",6
train,liver_10_377_CT_liver_tumor.png,"(512, 512)",1928,"(776, 538, 53, 47)",5
train,liver_10_378_CT_liver_liver.png,"(512, 512)",75096,"(614, 314, 301, 419)",6
train,liver_10_378_CT_liver_tumor.png,"(512, 512)",1972,"(776, 536, 53, 49)",6
train,liver_10_379_CT_liver_liver.png,"(512, 512)",75180,"(612, 314, 305, 419)",6
train,liver_10_379_CT_liver_tumor.png,"(512, 512)",1900,"(776, 538, 53, 47)",5
train,liver_10_380_CT_liver_liver.png,"(512, 512)",75384,"(612, 316, 305, 417)",6
train,liver_10_380_CT_liver_tumor.png,"(512, 512)",1672,"(776, 546, 53, 39)",5
train,liver_10_381_CT_liver_liver.png,"(512, 512)",75520,"(610, 316, 307, 419)",6
train,liver_10_381_CT_liver_tumor.png,"(512, 512)",1532,"(778, 546, 51, 39)",4
train,liver_10_382_CT_liver_liver.png,"(512, 512)",75728,"(608, 316, 311, 419)",6
train,liver_10_382_CT_liver_tumor.png,"(512, 512)",1392,"(778, 548, 49, 37)",4
train,liver_10_383_CT_liver_liver.png,"(512, 512)",76020,"(606, 316, 313, 421)",6
train,liver_10_383_CT_liver_tumor.png,"(512, 512)",1224,"(780, 548, 45, 37)",3
train,liver_10_384_CT_liver_liver.png,"(512, 512)",76492,"(604, 318, 317, 419)",6
train,liver_10_384_CT_liver_tumor.png,"(512, 512)",784,"(786, 550, 29, 33)",2
train,liver_10_385_CT_liver_liver.png,"(512, 512)",76740,"(604, 320, 319, 419)",6
train,liver_10_385_CT_liver_tumor.png,"(512, 512)",548,"(788, 554, 23, 29)",1
train,liver_10_386_CT_liver_liver.png,"(512, 512)",77004,"(604, 320, 321, 421)",6
train,liver_10_387_CT_liver_liver.png,"(512, 512)",77124,"(602, 322, 323, 421)",6
train,liver_10_388_CT_liver_liver.png,"(512, 512)",77228,"(602, 322, 323, 423)",6
train,liver_10_389_CT_liver_liver.png,"(512, 512)",77156,"(602, 324, 323, 421)",6
train,liver_10_390_CT_liver_liver.png,"(512, 512)",77012,"(602, 324, 323, 421)",6
train,liver_10_391_CT_liver_liver.png,"(512, 512)",76860,"(602, 326, 323, 419)",6
train,liver_10_392_CT_liver_liver.png,"(512, 512)",76944,"(602, 328, 323, 419)",6
train,liver_10_393_CT_liver_liver.png,"(512, 512)",77000,"(600, 330, 323, 419)",6
train,liver_10_394_CT_liver_liver.png,"(512, 512)",77088,"(598, 332, 323, 417)",6
train,liver_10_395_CT_liver_liver.png,"(512, 512)",77464,"(588, 332, 333, 417)",6
train,liver_10_396_CT_liver_liver.png,"(512, 512)",77720,"(586, 334, 335, 417)",6
train,liver_10_397_CT_liver_liver.png,"(512, 512)",77912,"(580, 334, 341, 417)",6
train,liver_10_398_CT_liver_liver.png,"(512, 512)",78236,"(574, 334, 345, 423)",7
train,liver_10_399_CT_liver_liver.png,"(512, 512)",78864,"(540, 336, 379, 425)",7
train,liver_10_400_CT_liver_liver.png,"(512, 512)",80136,"(538, 338, 381, 427)",7
train,liver_10_401_CT_liver_liver.png,"(512, 512)",81284,"(536, 340, 383, 427)",7
train,liver_10_402_CT_liver_liver.png,"(512, 512)",83124,"(534, 340, 383, 427)",7
train,liver_10_403_CT_liver_liver.png,"(512, 512)",84360,"(532, 342, 385, 429)",7
train,liver_10_404_CT_liver_liver.png,"(512, 512)",85772,"(530, 344, 387, 429)",7
train,liver_10_405_CT_liver_liver.png,"(512, 512)",87544,"(530, 346, 385, 429)",7
train,liver_10_406_CT_liver_liver.png,"(512, 512)",90124,"(528, 348, 387, 439)",8
train,liver_10_407_CT_liver_liver.png,"(512, 512)",92216,"(528, 350, 387, 439)",8
train,liver_10_408_CT_liver_liver.png,"(512, 512)",93236,"(526, 352, 393, 439)",8
train,liver_10_409_CT_liver_liver.png,"(512, 512)",94044,"(526, 354, 393, 437)",8
train,liver_10_410_CT_liver_liver.png,"(512, 512)",94964,"(526, 358, 395, 433)",8
train,liver_10_411_CT_liver_liver.png,"(512, 512)",97068,"(524, 358, 397, 433)",8
train,liver_10_412_CT_liver_liver.png,"(512, 512)",98076,"(524, 360, 397, 433)",8
train,liver_10_413_CT_liver_liver.png,"(512, 512)",98752,"(522, 362, 399, 431)",8
train,liver_10_414_CT_liver_liver.png,"(512, 512)",99432,"(522, 364, 399, 431)",8
train,liver_10_415_CT_liver_liver.png,"(512, 512)",100168,"(520, 368, 401, 427)",8
train,liver_10_416_CT_liver_liver.png,"(512, 512)",100872,"(520, 370, 401, 427)",9
train,liver_10_417_CT_liver_liver.png,"(512, 512)",101920,"(520, 372, 401, 425)",9
train,liver_10_418_CT_liver_liver.png,"(512, 512)",102436,"(518, 376, 403, 421)",9
train,liver_10_419_CT_liver_liver.png,"(512, 512)",102544,"(516, 378, 405, 419)",9
train,liver_10_420_CT_liver_liver.png,"(512, 512)",102892,"(518, 380, 403, 417)",9
train,liver_10_421_CT_liver_liver.png,"(512, 512)",103348,"(518, 382, 403, 415)",9
train,liver_10_422_CT_liver_liver.png,"(512, 512)",104048,"(518, 384, 403, 413)",9
train,liver_10_423_CT_liver_liver.png,"(512, 512)",104824,"(516, 386, 405, 411)",9
train,liver_10_424_CT_liver_liver.png,"(512, 512)",105424,"(516, 388, 407, 409)",9
train,liver_10_425_CT_liver_liver.png,"(512, 512)",106048,"(514, 390, 409, 407)",9
train,liver_10_426_CT_liver_liver.png,"(512, 512)",106388,"(514, 392, 409, 405)",9
train,liver_10_427_CT_liver_liver.png,"(512, 512)",107064,"(508, 394, 417, 403)",9
train,liver_10_428_CT_liver_liver.png,"(512, 512)",107240,"(506, 396, 419, 401)",9
train,liver_10_429_CT_liver_liver.png,"(512, 512)",107536,"(502, 398, 421, 397)",9
train,liver_10_429_CT_liver_tumor.png,"(512, 512)",344,"(872, 626, 21, 21)",1
train,liver_10_430_CT_liver_liver.png,"(512, 512)",107324,"(498, 400, 423, 393)",9
train,liver_10_430_CT_liver_tumor.png,"(512, 512)",400,"(872, 622, 23, 25)",1
train,liver_10_431_CT_liver_liver.png,"(512, 512)",107144,"(496, 402, 425, 389)",9
train,liver_10_431_CT_liver_tumor.png,"(512, 512)",408,"(872, 622, 23, 25)",1
train,liver_10_432_CT_liver_liver.png,"(512, 512)",107412,"(482, 406, 437, 383)",9
train,liver_10_432_CT_liver_tumor.png,"(512, 512)",364,"(872, 622, 21, 23)",1
train,liver_10_433_CT_liver_liver.png,"(512, 512)",107504,"(480, 408, 437, 381)",9
train,liver_10_434_CT_liver_liver.png,"(512, 512)",107448,"(478, 410, 437, 377)",9
train,liver_10_435_CT_liver_liver.png,"(512, 512)",107544,"(474, 412, 439, 375)",9
train,liver_10_436_CT_liver_liver.png,"(512, 512)",107776,"(466, 416, 445, 373)",9
train,liver_10_437_CT_liver_liver.png,"(512, 512)",108004,"(458, 420, 451, 369)",9
train,liver_10_438_CT_liver_liver.png,"(512, 512)",108332,"(450, 424, 459, 367)",9
train,liver_10_439_CT_liver_liver.png,"(512, 512)",110600,"(444, 426, 461, 363)",9
train,liver_10_440_CT_liver_liver.png,"(512, 512)",110608,"(438, 428, 465, 361)",9
train,liver_10_441_CT_liver_liver.png,"(512, 512)",110492,"(430, 430, 471, 361)",9
train,liver_10_442_CT_liver_liver.png,"(512, 512)",110464,"(422, 432, 477, 361)",9
train,liver_10_443_CT_liver_liver.png,"(512, 512)",110432,"(404, 434, 495, 363)",9
train,liver_10_444_CT_liver_liver.png,"(512, 512)",110476,"(366, 438, 531, 365)",9
train,liver_10_445_CT_liver_liver.png,"(512, 512)",110628,"(322, 442, 573, 363)",9
train,liver_10_446_CT_liver_liver.png,"(512, 512)",111620,"(302, 444, 593, 363)",10
train,liver_10_447_CT_liver_liver.png,"(512, 512)",110652,"(304, 448, 589, 359)",9
train,liver_10_448_CT_liver_liver.png,"(512, 512)",108024,"(328, 452, 563, 357)",9
train,liver_10_449_CT_liver_liver.png,"(512, 512)",106612,"(328, 454, 561, 355)",9
train,liver_10_450_CT_liver_liver.png,"(512, 512)",104608,"(330, 458, 555, 349)",9
train,liver_10_451_CT_liver_liver.png,"(512, 512)",102956,"(340, 462, 543, 345)",9
train,liver_10_452_CT_liver_liver.png,"(512, 512)",100936,"(364, 466, 517, 343)",9
train,liver_10_453_CT_liver_liver.png,"(512, 512)",99420,"(364, 470, 515, 341)",8
train,liver_10_454_CT_liver_liver.png,"(512, 512)",98016,"(364, 474, 513, 339)",8
train,liver_10_455_CT_liver_liver.png,"(512, 512)",96376,"(366, 476, 509, 337)",8
train,liver_10_456_CT_liver_liver.png,"(512, 512)",91208,"(432, 482, 439, 329)",8
train,liver_10_457_CT_liver_liver.png,"(512, 512)",87840,"(436, 486, 433, 321)",7
train,liver_10_458_CT_liver_liver.png,"(512, 512)",84336,"(436, 488, 429, 317)",7
train,liver_10_459_CT_liver_liver.png,"(512, 512)",81076,"(446, 490, 415, 313)",7
train,liver_10_459_CT_liver_tumor.png,"(512, 512)",468,"(490, 676, 31, 27)",1
train,liver_10_460_CT_liver_liver.png,"(512, 512)",77648,"(444, 496, 415, 303)",6
train,liver_10_460_CT_liver_tumor.png,"(512, 512)",652,"(488, 676, 33, 29)",2
train,liver_10_461_CT_liver_liver.png,"(512, 512)",74172,"(444, 500, 411, 297)",6
train,liver_10_461_CT_liver_tumor.png,"(512, 512)",704,"(490, 674, 31, 31)",2
train,liver_10_462_CT_liver_liver.png,"(512, 512)",70720,"(458, 502, 393, 297)",6
train,liver_10_462_CT_liver_tumor.png,"(512, 512)",840,"(490, 674, 153, 31)",2
train,liver_10_463_CT_liver_liver.png,"(512, 512)",67808,"(458, 504, 391, 295)",6
train,liver_10_463_CT_liver_tumor.png,"(512, 512)",1744,"(476, 674, 169, 83)",5
train,liver_10_464_CT_liver_liver.png,"(512, 512)",59644,"(476, 508, 365, 281)",5
train,liver_10_464_CT_liver_tumor.png,"(512, 512)",1568,"(482, 676, 165, 81)",4
train,liver_10_465_CT_liver_liver.png,"(512, 512)",55096,"(480, 512, 355, 273)",4
train,liver_10_465_CT_liver_tumor.png,"(512, 512)",1144,"(486, 676, 163, 77)",3
train,liver_10_466_CT_liver_liver.png,"(512, 512)",50296,"(482, 522, 347, 261)",4
train,liver_10_466_CT_liver_tumor.png,"(512, 512)",988,"(494, 674, 157, 75)",3
train,liver_10_467_CT_liver_liver.png,"(512, 512)",44540,"(484, 534, 339, 237)",3
train,liver_10_467_CT_liver_tumor.png,"(512, 512)",920,"(496, 672, 155, 37)",2
train,liver_10_468_CT_liver_liver.png,"(512, 512)",37036,"(488, 544, 327, 225)",3
train,liver_10_468_CT_liver_tumor.png,"(512, 512)",760,"(622, 674, 29, 35)",2
train,liver_10_469_CT_liver_liver.png,"(512, 512)",29608,"(530, 554, 277, 199)",2
train,liver_10_469_CT_liver_tumor.png,"(512, 512)",632,"(622, 674, 27, 33)",1
train,liver_10_470_CT_liver_liver.png,"(512, 512)",23792,"(550, 572, 245, 175)",2
train,liver_10_470_CT_liver_tumor.png,"(512, 512)",536,"(620, 676, 29, 25)",1
