split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,case_00000_123_CT_abdomen_kidney.png,"(512, 512)",5524,"(652, 576, 85, 77)",2
train,case_00000_124_CT_abdomen_kidney.png,"(512, 512)",5576,"(652, 576, 85, 77)",2
train,case_00000_125_CT_abdomen_kidney.png,"(512, 512)",5756,"(650, 576, 89, 77)",2
train,case_00000_126_CT_abdomen_kidney.png,"(512, 512)",5972,"(650, 576, 89, 79)",2
train,case_00000_127_CT_abdomen_kidney.png,"(512, 512)",6236,"(648, 574, 91, 83)",2
train,case_00000_128_CT_abdomen_kidney.png,"(512, 512)",6596,"(648, 574, 93, 85)",2
train,case_00000_129_CT_abdomen_kidney.png,"(512, 512)",6640,"(648, 574, 93, 85)",2
train,case_00000_130_CT_abdomen_kidney.png,"(512, 512)",6732,"(646, 574, 95, 87)",2
train,case_00000_131_CT_abdomen_kidney.png,"(512, 512)",6984,"(646, 574, 95, 87)",3
train,case_00000_132_CT_abdomen_kidney.png,"(512, 512)",7200,"(646, 574, 95, 89)",3
train,case_00000_133_CT_abdomen_kidney.png,"(512, 512)",7556,"(646, 574, 97, 91)",3
train,case_00000_134_CT_abdomen_kidney.png,"(512, 512)",7620,"(644, 574, 99, 93)",3
train,case_00000_135_CT_abdomen_kidney.png,"(512, 512)",7676,"(644, 574, 99, 93)",3
train,case_00000_136_CT_abdomen_kidney.png,"(512, 512)",7816,"(644, 572, 99, 95)",3
train,case_00000_137_CT_abdomen_kidney.png,"(512, 512)",7928,"(644, 572, 99, 95)",3
train,case_00000_138_CT_abdomen_kidney.png,"(512, 512)",8316,"(642, 386, 101, 285)",3
train,case_00000_139_CT_abdomen_kidney.png,"(512, 512)",8432,"(642, 382, 101, 289)",3
train,case_00000_140_CT_abdomen_kidney.png,"(512, 512)",8652,"(642, 380, 101, 291)",3
train,case_00000_141_CT_abdomen_kidney.png,"(512, 512)",8940,"(642, 376, 101, 297)",3
train,case_00000_142_CT_abdomen_kidney.png,"(512, 512)",9328,"(642, 374, 103, 301)",4
train,case_00000_143_CT_abdomen_kidney.png,"(512, 512)",9860,"(640, 372, 105, 305)",4
train,case_00000_144_CT_abdomen_kidney.png,"(512, 512)",10220,"(640, 370, 105, 307)",4
train,case_00000_145_CT_abdomen_kidney.png,"(512, 512)",10364,"(640, 368, 105, 309)",4
train,case_00000_146_CT_abdomen_kidney.png,"(512, 512)",10648,"(640, 368, 105, 311)",4
train,case_00000_147_CT_abdomen_kidney.png,"(512, 512)",11008,"(640, 366, 105, 313)",4
train,case_00000_148_CT_abdomen_kidney.png,"(512, 512)",11452,"(640, 364, 105, 319)",5
train,case_00000_149_CT_abdomen_kidney.png,"(512, 512)",11604,"(638, 362, 107, 321)",5
train,case_00000_150_CT_abdomen_kidney.png,"(512, 512)",11824,"(636, 362, 109, 321)",5
train,case_00000_151_CT_abdomen_kidney.png,"(512, 512)",12284,"(634, 360, 111, 325)",5
train,case_00000_152_CT_abdomen_kidney.png,"(512, 512)",12528,"(632, 358, 113, 329)",5
train,case_00000_153_CT_abdomen_kidney.png,"(512, 512)",12852,"(632, 358, 115, 331)",5
train,case_00000_154_CT_abdomen_kidney.png,"(512, 512)",12956,"(630, 356, 117, 333)",5
train,case_00000_155_CT_abdomen_kidney.png,"(512, 512)",13064,"(628, 356, 119, 333)",5
train,case_00000_156_CT_abdomen_kidney.png,"(512, 512)",13268,"(628, 354, 119, 337)",5
train,case_00000_157_CT_abdomen_kidney.png,"(512, 512)",13512,"(626, 354, 121, 337)",5
train,case_00000_158_CT_abdomen_kidney.png,"(512, 512)",14196,"(624, 352, 123, 343)",6
train,case_00000_159_CT_abdomen_kidney.png,"(512, 512)",14244,"(624, 352, 123, 343)",6
train,case_00000_160_CT_abdomen_kidney.png,"(512, 512)",14516,"(624, 350, 123, 347)",6
train,case_00000_161_CT_abdomen_kidney.png,"(512, 512)",14752,"(622, 348, 125, 349)",6
train,case_00000_162_CT_abdomen_kidney.png,"(512, 512)",15120,"(620, 348, 127, 351)",6
train,case_00000_163_CT_abdomen_kidney.png,"(512, 512)",15692,"(618, 346, 131, 355)",6
train,case_00000_164_CT_abdomen_kidney.png,"(512, 512)",15828,"(618, 344, 131, 357)",6
train,case_00000_165_CT_abdomen_kidney.png,"(512, 512)",16248,"(616, 342, 131, 359)",7
train,case_00000_166_CT_abdomen_kidney.png,"(512, 512)",16304,"(616, 342, 131, 361)",7
train,case_00000_167_CT_abdomen_kidney.png,"(512, 512)",16428,"(616, 342, 131, 361)",7
train,case_00000_168_CT_abdomen_kidney.png,"(512, 512)",16812,"(614, 342, 133, 365)",7
train,case_00000_169_CT_abdomen_kidney.png,"(512, 512)",16812,"(614, 340, 133, 367)",7
train,case_00000_170_CT_abdomen_kidney.png,"(512, 512)",16928,"(614, 338, 133, 369)",7
train,case_00000_171_CT_abdomen_kidney.png,"(512, 512)",17144,"(612, 338, 135, 371)",7
train,case_00000_172_CT_abdomen_kidney.png,"(512, 512)",17576,"(612, 336, 135, 373)",7
train,case_00000_173_CT_abdomen_kidney.png,"(512, 512)",17864,"(612, 334, 135, 379)",7
train,case_00000_174_CT_abdomen_kidney.png,"(512, 512)",17976,"(612, 334, 135, 379)",7
train,case_00000_175_CT_abdomen_kidney.png,"(512, 512)",18104,"(612, 332, 135, 381)",7
train,case_00000_176_CT_abdomen_kidney.png,"(512, 512)",18244,"(612, 332, 135, 381)",8
train,case_00000_177_CT_abdomen_kidney.png,"(512, 512)",18520,"(612, 330, 135, 383)",8
train,case_00000_178_CT_abdomen_kidney.png,"(512, 512)",18896,"(610, 330, 139, 385)",8
train,case_00000_179_CT_abdomen_kidney.png,"(512, 512)",19076,"(610, 328, 139, 387)",8
train,case_00000_180_CT_abdomen_kidney.png,"(512, 512)",18960,"(610, 328, 139, 387)",8
train,case_00000_181_CT_abdomen_kidney.png,"(512, 512)",19196,"(610, 326, 139, 389)",8
train,case_00000_182_CT_abdomen_kidney.png,"(512, 512)",19396,"(608, 326, 141, 391)",8
train,case_00000_183_CT_abdomen_kidney.png,"(512, 512)",19760,"(608, 324, 141, 393)",8
train,case_00000_184_CT_abdomen_kidney.png,"(512, 512)",19628,"(608, 324, 141, 393)",8
train,case_00000_185_CT_abdomen_kidney.png,"(512, 512)",19916,"(606, 322, 143, 395)",8
train,case_00000_186_CT_abdomen_kidney.png,"(512, 512)",20212,"(604, 322, 145, 395)",8
train,case_00000_187_CT_abdomen_kidney.png,"(512, 512)",20196,"(604, 322, 145, 397)",8
train,case_00000_188_CT_abdomen_kidney.png,"(512, 512)",20504,"(604, 322, 145, 397)",8
train,case_00000_189_CT_abdomen_kidney.png,"(512, 512)",20460,"(602, 320, 145, 399)",8
train,case_00000_190_CT_abdomen_kidney.png,"(512, 512)",20468,"(602, 320, 145, 399)",8
train,case_00000_191_CT_abdomen_kidney.png,"(512, 512)",20584,"(600, 318, 147, 401)",9
train,case_00000_192_CT_abdomen_kidney.png,"(512, 512)",20748,"(596, 318, 151, 403)",9
train,case_00000_193_CT_abdomen_kidney.png,"(512, 512)",21404,"(592, 316, 155, 409)",9
train,case_00000_194_CT_abdomen_kidney.png,"(512, 512)",20960,"(592, 316, 155, 409)",9
train,case_00000_195_CT_abdomen_kidney.png,"(512, 512)",20956,"(592, 314, 155, 411)",9
train,case_00000_196_CT_abdomen_kidney.png,"(512, 512)",20880,"(592, 314, 155, 411)",9
train,case_00000_197_CT_abdomen_kidney.png,"(512, 512)",20964,"(592, 312, 155, 415)",9
train,case_00000_198_CT_abdomen_kidney.png,"(512, 512)",21280,"(592, 312, 155, 417)",9
train,case_00000_199_CT_abdomen_kidney.png,"(512, 512)",21352,"(590, 312, 157, 417)",9
train,case_00000_200_CT_abdomen_kidney.png,"(512, 512)",21532,"(586, 310, 161, 419)",9
train,case_00000_201_CT_abdomen_kidney.png,"(512, 512)",21236,"(586, 310, 161, 419)",9
train,case_00000_202_CT_abdomen_kidney.png,"(512, 512)",21284,"(586, 310, 161, 419)",9
train,case_00000_203_CT_abdomen_kidney.png,"(512, 512)",21420,"(586, 310, 161, 421)",9
train,case_00000_204_CT_abdomen_kidney.png,"(512, 512)",21480,"(586, 308, 161, 423)",9
train,case_00000_205_CT_abdomen_kidney.png,"(512, 512)",21592,"(586, 308, 161, 423)",9
train,case_00000_206_CT_abdomen_kidney.png,"(512, 512)",21872,"(584, 306, 163, 425)",9
train,case_00000_207_CT_abdomen_kidney.png,"(512, 512)",22108,"(584, 306, 163, 425)",9
train,case_00000_208_CT_abdomen_kidney.png,"(512, 512)",22012,"(584, 306, 163, 425)",9
train,case_00000_209_CT_abdomen_kidney.png,"(512, 512)",21928,"(582, 304, 163, 427)",9
train,case_00000_210_CT_abdomen_kidney.png,"(512, 512)",22028,"(582, 304, 163, 427)",9
train,case_00000_211_CT_abdomen_kidney.png,"(512, 512)",22220,"(580, 302, 165, 429)",9
train,case_00000_212_CT_abdomen_kidney.png,"(512, 512)",22332,"(580, 300, 165, 431)",9
train,case_00000_213_CT_abdomen_kidney.png,"(512, 512)",22616,"(578, 300, 167, 431)",9
train,case_00000_214_CT_abdomen_kidney.png,"(512, 512)",22540,"(578, 298, 167, 431)",9
train,case_00000_215_CT_abdomen_kidney.png,"(512, 512)",22268,"(578, 298, 167, 431)",9
train,case_00000_216_CT_abdomen_kidney.png,"(512, 512)",22196,"(578, 298, 167, 431)",9
train,case_00000_217_CT_abdomen_kidney.png,"(512, 512)",22316,"(576, 298, 169, 431)",9
train,case_00000_218_CT_abdomen_kidney.png,"(512, 512)",22652,"(576, 298, 171, 431)",9
train,case_00000_219_CT_abdomen_kidney.png,"(512, 512)",22484,"(576, 298, 169, 431)",9
train,case_00000_220_CT_abdomen_kidney.png,"(512, 512)",22540,"(576, 296, 169, 433)",9
train,case_00000_221_CT_abdomen_kidney.png,"(512, 512)",22632,"(574, 296, 171, 433)",9
train,case_00000_222_CT_abdomen_kidney.png,"(512, 512)",22388,"(574, 296, 171, 433)",9
train,case_00000_223_CT_abdomen_kidney.png,"(512, 512)",22460,"(574, 294, 171, 435)",9
train,case_00000_224_CT_abdomen_kidney.png,"(512, 512)",22184,"(574, 294, 171, 433)",9
train,case_00000_225_CT_abdomen_kidney.png,"(512, 512)",22152,"(572, 294, 173, 431)",9
train,case_00000_226_CT_abdomen_kidney.png,"(512, 512)",22292,"(572, 292, 173, 433)",9
train,case_00000_227_CT_abdomen_kidney.png,"(512, 512)",22508,"(570, 292, 175, 433)",9
train,case_00000_228_CT_abdomen_kidney.png,"(512, 512)",22800,"(568, 290, 177, 435)",10
train,case_00000_229_CT_abdomen_kidney.png,"(512, 512)",22252,"(568, 290, 175, 433)",9
train,case_00000_230_CT_abdomen_kidney.png,"(512, 512)",22148,"(568, 290, 173, 433)",9
train,case_00000_231_CT_abdomen_kidney.png,"(512, 512)",22124,"(568, 290, 173, 433)",9
train,case_00000_232_CT_abdomen_kidney.png,"(512, 512)",22192,"(568, 290, 173, 433)",9
train,case_00000_233_CT_abdomen_kidney.png,"(512, 512)",22216,"(568, 290, 173, 431)",9
train,case_00000_234_CT_abdomen_kidney.png,"(512, 512)",22120,"(566, 288, 175, 431)",9
train,case_00000_235_CT_abdomen_kidney.png,"(512, 512)",22284,"(564, 288, 177, 431)",9
train,case_00000_236_CT_abdomen_kidney.png,"(512, 512)",21980,"(564, 288, 177, 429)",9
train,case_00000_237_CT_abdomen_kidney.png,"(512, 512)",21692,"(564, 286, 177, 431)",9
train,case_00000_238_CT_abdomen_kidney.png,"(512, 512)",22116,"(564, 286, 177, 431)",9
train,case_00000_239_CT_abdomen_kidney.png,"(512, 512)",21992,"(562, 286, 177, 431)",9
train,case_00000_240_CT_abdomen_kidney.png,"(512, 512)",22000,"(562, 286, 177, 431)",9
train,case_00000_241_CT_abdomen_kidney.png,"(512, 512)",22084,"(562, 284, 177, 433)",9
train,case_00000_242_CT_abdomen_kidney.png,"(512, 512)",22256,"(560, 284, 179, 433)",9
train,case_00000_243_CT_abdomen_kidney.png,"(512, 512)",22080,"(560, 284, 179, 435)",9
train,case_00000_244_CT_abdomen_kidney.png,"(512, 512)",21892,"(560, 284, 177, 435)",9
train,case_00000_245_CT_abdomen_kidney.png,"(512, 512)",21852,"(560, 284, 177, 433)",9
train,case_00000_246_CT_abdomen_kidney.png,"(512, 512)",21840,"(560, 284, 177, 433)",9
train,case_00000_247_CT_abdomen_kidney.png,"(512, 512)",21916,"(558, 284, 179, 433)",9
train,case_00000_248_CT_abdomen_kidney.png,"(512, 512)",22024,"(558, 282, 179, 435)",9
train,case_00000_249_CT_abdomen_kidney.png,"(512, 512)",21948,"(558, 282, 179, 435)",9
train,case_00000_250_CT_abdomen_kidney.png,"(512, 512)",21600,"(558, 282, 179, 435)",9
train,case_00000_251_CT_abdomen_kidney.png,"(512, 512)",21476,"(558, 282, 179, 435)",9
train,case_00000_252_CT_abdomen_kidney.png,"(512, 512)",21436,"(558, 282, 179, 435)",9
train,case_00000_253_CT_abdomen_kidney.png,"(512, 512)",21392,"(558, 282, 179, 433)",9
train,case_00000_254_CT_abdomen_kidney.png,"(512, 512)",21180,"(558, 282, 177, 433)",9
train,case_00000_255_CT_abdomen_kidney.png,"(512, 512)",21136,"(556, 282, 177, 431)",9
train,case_00000_256_CT_abdomen_kidney.png,"(512, 512)",21140,"(556, 282, 177, 431)",9
train,case_00000_257_CT_abdomen_kidney.png,"(512, 512)",20732,"(556, 282, 177, 431)",9
train,case_00000_258_CT_abdomen_kidney.png,"(512, 512)",20688,"(556, 282, 177, 431)",9
train,case_00000_259_CT_abdomen_kidney.png,"(512, 512)",20416,"(556, 282, 175, 429)",8
train,case_00000_260_CT_abdomen_kidney.png,"(512, 512)",20220,"(556, 282, 175, 427)",8
train,case_00000_261_CT_abdomen_kidney.png,"(512, 512)",20144,"(556, 282, 175, 427)",8
train,case_00000_262_CT_abdomen_kidney.png,"(512, 512)",20140,"(556, 280, 175, 429)",8
train,case_00000_263_CT_abdomen_kidney.png,"(512, 512)",20152,"(556, 280, 175, 429)",8
train,case_00000_264_CT_abdomen_kidney.png,"(512, 512)",19592,"(556, 280, 173, 427)",8
train,case_00000_265_CT_abdomen_kidney.png,"(512, 512)",19452,"(556, 280, 171, 427)",8
train,case_00000_266_CT_abdomen_kidney.png,"(512, 512)",19240,"(556, 280, 171, 427)",8
train,case_00000_267_CT_abdomen_kidney.png,"(512, 512)",19172,"(556, 280, 171, 427)",8
train,case_00000_268_CT_abdomen_kidney.png,"(512, 512)",19164,"(556, 280, 171, 427)",8
train,case_00000_269_CT_abdomen_kidney.png,"(512, 512)",18864,"(554, 278, 171, 425)",8
train,case_00000_270_CT_abdomen_kidney.png,"(512, 512)",18724,"(554, 278, 171, 423)",8
train,case_00000_271_CT_abdomen_kidney.png,"(512, 512)",18136,"(554, 278, 171, 423)",7
train,case_00000_272_CT_abdomen_kidney.png,"(512, 512)",17960,"(554, 278, 171, 423)",7
train,case_00000_273_CT_abdomen_kidney.png,"(512, 512)",17856,"(554, 278, 171, 423)",7
train,case_00000_274_CT_abdomen_kidney.png,"(512, 512)",17452,"(554, 278, 167, 421)",7
train,case_00000_275_CT_abdomen_kidney.png,"(512, 512)",17284,"(554, 278, 167, 419)",7
train,case_00000_276_CT_abdomen_kidney.png,"(512, 512)",17156,"(554, 278, 167, 419)",7
train,case_00000_277_CT_abdomen_kidney.png,"(512, 512)",17076,"(552, 278, 169, 419)",7
train,case_00000_278_CT_abdomen_kidney.png,"(512, 512)",16804,"(552, 278, 169, 419)",7
train,case_00000_279_CT_abdomen_kidney.png,"(512, 512)",16420,"(552, 278, 167, 417)",7
train,case_00000_280_CT_abdomen_kidney.png,"(512, 512)",16192,"(552, 278, 165, 415)",7
train,case_00000_281_CT_abdomen_kidney.png,"(512, 512)",15984,"(552, 278, 165, 415)",7
train,case_00000_282_CT_abdomen_kidney.png,"(512, 512)",15892,"(552, 278, 163, 415)",6
train,case_00000_283_CT_abdomen_kidney.png,"(512, 512)",15868,"(552, 278, 163, 415)",6
train,case_00000_284_CT_abdomen_kidney.png,"(512, 512)",15632,"(552, 278, 161, 415)",6
train,case_00000_285_CT_abdomen_kidney.png,"(512, 512)",14980,"(552, 278, 159, 413)",6
train,case_00000_286_CT_abdomen_kidney.png,"(512, 512)",14684,"(552, 278, 157, 413)",6
train,case_00000_287_CT_abdomen_kidney.png,"(512, 512)",14424,"(552, 278, 157, 413)",6
train,case_00000_288_CT_abdomen_kidney.png,"(512, 512)",14260,"(552, 278, 157, 413)",6
train,case_00000_289_CT_abdomen_kidney.png,"(512, 512)",13912,"(552, 278, 155, 413)",6
train,case_00000_290_CT_abdomen_kidney.png,"(512, 512)",13496,"(552, 278, 153, 411)",5
train,case_00000_290_CT_abdomen_tumor.png,"(512, 512)",336,"(646, 346, 19, 19)",1
train,case_00000_290_CT_abdomen_kidney+tumor.png,"(512, 512)",336,"(646, 346, 19, 19)",1
train,case_00000_291_CT_abdomen_kidney.png,"(512, 512)",13188,"(552, 278, 151, 411)",5
train,case_00000_291_CT_abdomen_tumor.png,"(512, 512)",472,"(646, 344, 21, 23)",1
train,case_00000_291_CT_abdomen_kidney+tumor.png,"(512, 512)",472,"(646, 344, 21, 23)",1
train,case_00000_292_CT_abdomen_kidney.png,"(512, 512)",12556,"(552, 278, 151, 411)",5
train,case_00000_292_CT_abdomen_tumor.png,"(512, 512)",804,"(642, 342, 31, 31)",3
train,case_00000_292_CT_abdomen_kidney+tumor.png,"(512, 512)",804,"(642, 342, 31, 31)",3
train,case_00000_293_CT_abdomen_kidney.png,"(512, 512)",12436,"(552, 278, 151, 411)",5
train,case_00000_293_CT_abdomen_tumor.png,"(512, 512)",840,"(642, 342, 31, 31)",3
train,case_00000_293_CT_abdomen_kidney+tumor.png,"(512, 512)",840,"(642, 342, 31, 31)",3
train,case_00000_294_CT_abdomen_kidney.png,"(512, 512)",12036,"(552, 278, 151, 409)",5
train,case_00000_294_CT_abdomen_tumor.png,"(512, 512)",944,"(640, 340, 33, 35)",3
train,case_00000_294_CT_abdomen_kidney+tumor.png,"(512, 512)",944,"(640, 340, 33, 35)",3
train,case_00000_295_CT_abdomen_kidney.png,"(512, 512)",11836,"(552, 278, 151, 407)",5
train,case_00000_295_CT_abdomen_tumor.png,"(512, 512)",924,"(640, 342, 33, 33)",3
train,case_00000_295_CT_abdomen_kidney+tumor.png,"(512, 512)",924,"(640, 342, 33, 33)",3
train,case_00000_296_CT_abdomen_kidney.png,"(512, 512)",11768,"(552, 278, 149, 407)",5
train,case_00000_296_CT_abdomen_tumor.png,"(512, 512)",924,"(640, 342, 33, 33)",3
train,case_00000_296_CT_abdomen_kidney+tumor.png,"(512, 512)",924,"(640, 342, 33, 33)",3
train,case_00000_297_CT_abdomen_kidney.png,"(512, 512)",11664,"(550, 278, 151, 407)",5
train,case_00000_297_CT_abdomen_tumor.png,"(512, 512)",920,"(640, 342, 33, 33)",3
train,case_00000_297_CT_abdomen_kidney+tumor.png,"(512, 512)",920,"(640, 342, 33, 33)",3
train,case_00000_298_CT_abdomen_kidney.png,"(512, 512)",11628,"(550, 278, 151, 407)",5
train,case_00000_298_CT_abdomen_tumor.png,"(512, 512)",960,"(640, 342, 33, 35)",3
train,case_00000_298_CT_abdomen_kidney+tumor.png,"(512, 512)",960,"(640, 342, 33, 35)",3
train,case_00000_299_CT_abdomen_kidney.png,"(512, 512)",11024,"(550, 278, 149, 405)",4
train,case_00000_299_CT_abdomen_tumor.png,"(512, 512)",1020,"(640, 340, 33, 37)",3
train,case_00000_299_CT_abdomen_kidney+tumor.png,"(512, 512)",1020,"(640, 340, 33, 37)",3
train,case_00000_300_CT_abdomen_kidney.png,"(512, 512)",10592,"(550, 280, 147, 401)",4
train,case_00000_300_CT_abdomen_tumor.png,"(512, 512)",1176,"(636, 338, 37, 39)",4
train,case_00000_300_CT_abdomen_kidney+tumor.png,"(512, 512)",1176,"(636, 338, 37, 39)",4
train,case_00000_301_CT_abdomen_kidney.png,"(512, 512)",10396,"(550, 280, 145, 401)",4
train,case_00000_301_CT_abdomen_tumor.png,"(512, 512)",1168,"(636, 338, 37, 39)",4
train,case_00000_301_CT_abdomen_kidney+tumor.png,"(512, 512)",1168,"(636, 338, 37, 39)",4
train,case_00000_302_CT_abdomen_kidney.png,"(512, 512)",10256,"(550, 280, 145, 401)",4
train,case_00000_302_CT_abdomen_tumor.png,"(512, 512)",1204,"(636, 336, 37, 41)",4
train,case_00000_302_CT_abdomen_kidney+tumor.png,"(512, 512)",1204,"(636, 336, 37, 41)",4
train,case_00000_303_CT_abdomen_kidney.png,"(512, 512)",10024,"(550, 280, 145, 401)",4
train,case_00000_303_CT_abdomen_tumor.png,"(512, 512)",1272,"(634, 336, 37, 39)",4
train,case_00000_303_CT_abdomen_kidney+tumor.png,"(512, 512)",1272,"(634, 336, 37, 39)",4
train,case_00000_304_CT_abdomen_kidney.png,"(512, 512)",9516,"(550, 280, 143, 397)",4
train,case_00000_304_CT_abdomen_tumor.png,"(512, 512)",1468,"(630, 332, 39, 43)",5
train,case_00000_304_CT_abdomen_kidney+tumor.png,"(512, 512)",1468,"(630, 332, 39, 43)",5
train,case_00000_305_CT_abdomen_kidney.png,"(512, 512)",9156,"(550, 280, 141, 397)",4
train,case_00000_305_CT_abdomen_tumor.png,"(512, 512)",1588,"(628, 330, 41, 45)",6
train,case_00000_305_CT_abdomen_kidney+tumor.png,"(512, 512)",1588,"(628, 330, 41, 45)",6
train,case_00000_306_CT_abdomen_kidney.png,"(512, 512)",8388,"(550, 282, 139, 393)",3
train,case_00000_306_CT_abdomen_tumor.png,"(512, 512)",1828,"(624, 328, 45, 49)",7
train,case_00000_306_CT_abdomen_kidney+tumor.png,"(512, 512)",1828,"(624, 328, 45, 49)",7
train,case_00000_307_CT_abdomen_kidney.png,"(512, 512)",7956,"(550, 282, 137, 389)",3
train,case_00000_307_CT_abdomen_tumor.png,"(512, 512)",1988,"(622, 328, 47, 49)",7
train,case_00000_307_CT_abdomen_kidney+tumor.png,"(512, 512)",1988,"(622, 328, 47, 49)",7
train,case_00000_308_CT_abdomen_kidney.png,"(512, 512)",7284,"(550, 282, 135, 389)",3
train,case_00000_308_CT_abdomen_tumor.png,"(512, 512)",2368,"(618, 324, 53, 55)",9
train,case_00000_308_CT_abdomen_kidney+tumor.png,"(512, 512)",2368,"(618, 324, 53, 55)",9
train,case_00000_309_CT_abdomen_kidney.png,"(512, 512)",6956,"(550, 284, 131, 383)",3
train,case_00000_309_CT_abdomen_tumor.png,"(512, 512)",2360,"(618, 324, 53, 53)",9
train,case_00000_309_CT_abdomen_kidney+tumor.png,"(512, 512)",2360,"(618, 324, 53, 53)",9
train,case_00000_310_CT_abdomen_kidney.png,"(512, 512)",6780,"(550, 284, 121, 99)",2
train,case_00000_310_CT_abdomen_tumor.png,"(512, 512)",2440,"(618, 324, 55, 53)",9
train,case_00000_310_CT_abdomen_kidney+tumor.png,"(512, 512)",2440,"(618, 324, 55, 53)",9
train,case_00000_311_CT_abdomen_kidney.png,"(512, 512)",6648,"(550, 286, 121, 97)",2
train,case_00000_311_CT_abdomen_tumor.png,"(512, 512)",2468,"(618, 324, 53, 53)",9
train,case_00000_311_CT_abdomen_kidney+tumor.png,"(512, 512)",2468,"(618, 324, 53, 53)",9
train,case_00000_312_CT_abdomen_kidney.png,"(512, 512)",6484,"(550, 286, 123, 97)",2
train,case_00000_312_CT_abdomen_tumor.png,"(512, 512)",2600,"(616, 322, 55, 55)",10
train,case_00000_312_CT_abdomen_kidney+tumor.png,"(512, 512)",2600,"(616, 322, 55, 55)",10
train,case_00000_313_CT_abdomen_kidney.png,"(512, 512)",6356,"(552, 286, 119, 95)",2
train,case_00000_313_CT_abdomen_tumor.png,"(512, 512)",2432,"(618, 324, 53, 53)",9
train,case_00000_313_CT_abdomen_kidney+tumor.png,"(512, 512)",2432,"(618, 324, 53, 53)",9
train,case_00000_314_CT_abdomen_kidney.png,"(512, 512)",6336,"(552, 286, 119, 93)",2
train,case_00000_314_CT_abdomen_tumor.png,"(512, 512)",2360,"(618, 324, 53, 53)",9
train,case_00000_314_CT_abdomen_kidney+tumor.png,"(512, 512)",2360,"(618, 324, 53, 53)",9
train,case_00000_315_CT_abdomen_kidney.png,"(512, 512)",6236,"(552, 286, 119, 93)",2
train,case_00000_315_CT_abdomen_tumor.png,"(512, 512)",2360,"(618, 324, 53, 53)",9
train,case_00000_315_CT_abdomen_kidney+tumor.png,"(512, 512)",2360,"(618, 324, 53, 53)",9
train,case_00000_316_CT_abdomen_kidney.png,"(512, 512)",6084,"(552, 288, 117, 91)",2
train,case_00000_316_CT_abdomen_tumor.png,"(512, 512)",2428,"(616, 324, 55, 55)",9
train,case_00000_316_CT_abdomen_kidney+tumor.png,"(512, 512)",2428,"(616, 324, 55, 55)",9
train,case_00000_317_CT_abdomen_kidney.png,"(512, 512)",6140,"(552, 288, 119, 91)",2
train,case_00000_317_CT_abdomen_tumor.png,"(512, 512)",2328,"(618, 326, 53, 51)",8
train,case_00000_317_CT_abdomen_kidney+tumor.png,"(512, 512)",2328,"(618, 326, 53, 51)",8
train,case_00000_318_CT_abdomen_kidney.png,"(512, 512)",6108,"(552, 288, 119, 91)",2
train,case_00000_318_CT_abdomen_tumor.png,"(512, 512)",2316,"(618, 324, 53, 53)",8
train,case_00000_318_CT_abdomen_kidney+tumor.png,"(512, 512)",2316,"(618, 324, 53, 53)",8
train,case_00000_319_CT_abdomen_kidney.png,"(512, 512)",6120,"(552, 288, 119, 91)",2
train,case_00000_319_CT_abdomen_tumor.png,"(512, 512)",2264,"(620, 324, 51, 53)",8
