split,fname,cell_count
train,Part_1_48_pathology_breast_connective+tissue+cells.png,4
train,Part_1_48_pathology_breast_epithelial+cells.png,1
train,Part_1_49_pathology_breast_connective+tissue+cells.png,1
train,Part_1_49_pathology_breast_epithelial+cells.png,28
train,Part_1_50_pathology_breast_connective+tissue+cells.png,2
train,Part_1_50_pathology_breast_epithelial+cells.png,13
train,Part_1_51_pathology_breast_neoplastic+cells.png,4
train,Part_1_51_pathology_breast_connective+tissue+cells.png,9
test,Part_1_52_pathology_breast_neoplastic+cells.png,3
test,Part_1_52_pathology_breast_connective+tissue+cells.png,1
test,Part_1_53_pathology_breast_neoplastic+cells.png,29
train,Part_1_54_pathology_breast_neoplastic+cells.png,4
train,Part_1_54_pathology_breast_inflammatory+cells.png,1
train,Part_1_54_pathology_breast_connective+tissue+cells.png,4
train,Part_1_55_pathology_breast_neoplastic+cells.png,15
train,Part_1_55_pathology_breast_connective+tissue+cells.png,5
test,Part_1_56_pathology_breast_neoplastic+cells.png,4
test,Part_1_56_pathology_breast_connective+tissue+cells.png,12
train,Part_1_57_pathology_breast_inflammatory+cells.png,2
train,Part_1_57_pathology_breast_connective+tissue+cells.png,13
train,Part_1_58_pathology_breast_connective+tissue+cells.png,1
train,Part_1_58_pathology_breast_epithelial+cells.png,30
test,Part_1_59_pathology_breast_inflammatory+cells.png,2
test,Part_1_59_pathology_breast_connective+tissue+cells.png,2
test,Part_1_59_pathology_breast_epithelial+cells.png,23
train,Part_1_60_pathology_breast_connective+tissue+cells.png,6
train,Part_1_60_pathology_breast_epithelial+cells.png,18
test,Part_1_61_pathology_breast_epithelial+cells.png,40
train,Part_1_62_pathology_breast_inflammatory+cells.png,1
train,Part_1_62_pathology_breast_connective+tissue+cells.png,8
train,Part_1_62_pathology_breast_epithelial+cells.png,9
train,Part_1_63_pathology_breast_connective+tissue+cells.png,9
train,Part_1_63_pathology_breast_epithelial+cells.png,11
train,Part_1_64_pathology_breast_epithelial+cells.png,41
train,Part_1_65_pathology_breast_connective+tissue+cells.png,14
train,Part_1_65_pathology_breast_epithelial+cells.png,7
train,Part_1_66_pathology_breast_connective+tissue+cells.png,2
train,Part_1_66_pathology_breast_epithelial+cells.png,39
train,Part_1_67_pathology_breast_inflammatory+cells.png,2
train,Part_1_67_pathology_breast_connective+tissue+cells.png,2
train,Part_1_67_pathology_breast_epithelial+cells.png,33
train,Part_1_68_pathology_breast_connective+tissue+cells.png,5
train,Part_1_68_pathology_breast_epithelial+cells.png,20
train,Part_1_69_pathology_breast_inflammatory+cells.png,1
train,Part_1_69_pathology_breast_connective+tissue+cells.png,4
train,Part_1_69_pathology_breast_epithelial+cells.png,13
test,Part_1_70_pathology_breast_connective+tissue+cells.png,8
test,Part_1_70_pathology_breast_epithelial+cells.png,15
train,Part_1_71_pathology_breast_inflammatory+cells.png,1
train,Part_1_71_pathology_breast_connective+tissue+cells.png,13
train,Part_1_71_pathology_breast_epithelial+cells.png,22
train,Part_1_72_pathology_breast_connective+tissue+cells.png,3
train,Part_1_72_pathology_breast_epithelial+cells.png,47
train,Part_1_73_pathology_breast_neoplastic+cells.png,2
train,Part_1_73_pathology_breast_connective+tissue+cells.png,4
train,Part_1_74_pathology_breast_neoplastic+cells.png,1
train,Part_1_74_pathology_breast_connective+tissue+cells.png,4
train,Part_1_75_pathology_breast_neoplastic+cells.png,10
train,Part_1_75_pathology_breast_connective+tissue+cells.png,2
train,Part_1_76_pathology_breast_neoplastic+cells.png,7
train,Part_1_76_pathology_breast_inflammatory+cells.png,1
train,Part_1_76_pathology_breast_connective+tissue+cells.png,3
test,Part_1_77_pathology_breast_inflammatory+cells.png,3
test,Part_1_77_pathology_breast_connective+tissue+cells.png,6
train,Part_1_78_pathology_breast_neoplastic+cells.png,7
train,Part_1_78_pathology_breast_connective+tissue+cells.png,2
train,Part_1_79_pathology_breast_inflammatory+cells.png,3
train,Part_1_79_pathology_breast_connective+tissue+cells.png,9
train,Part_1_80_pathology_breast_inflammatory+cells.png,2
train,Part_1_80_pathology_breast_connective+tissue+cells.png,2
train,Part_1_81_pathology_breast_neoplastic+cells.png,2
train,Part_1_81_pathology_breast_connective+tissue+cells.png,8
train,Part_1_82_pathology_breast_neoplastic+cells.png,4
train,Part_1_82_pathology_breast_connective+tissue+cells.png,7
train,Part_1_83_pathology_breast_connective+tissue+cells.png,2
train,Part_1_83_pathology_breast_epithelial+cells.png,23
train,Part_1_84_pathology_breast_connective+tissue+cells.png,12
train,Part_1_84_pathology_breast_epithelial+cells.png,37
train,Part_1_85_pathology_breast_connective+tissue+cells.png,11
train,Part_1_85_pathology_breast_epithelial+cells.png,31
train,Part_1_86_pathology_breast_inflammatory+cells.png,1
train,Part_1_86_pathology_breast_epithelial+cells.png,65
train,Part_1_87_pathology_breast_connective+tissue+cells.png,9
train,Part_1_87_pathology_breast_epithelial+cells.png,19
train,Part_1_88_pathology_breast_connective+tissue+cells.png,3
train,Part_1_88_pathology_breast_epithelial+cells.png,37
train,Part_1_89_pathology_breast_connective+tissue+cells.png,11
train,Part_1_89_pathology_breast_epithelial+cells.png,12
train,Part_1_90_pathology_breast_epithelial+cells.png,52
train,Part_1_91_pathology_breast_connective+tissue+cells.png,1
train,Part_1_91_pathology_breast_epithelial+cells.png,30
test,Part_1_92_pathology_breast_connective+tissue+cells.png,1
test,Part_1_92_pathology_breast_epithelial+cells.png,37
train,Part_1_93_pathology_breast_neoplastic+cells.png,4
train,Part_1_93_pathology_breast_inflammatory+cells.png,1
train,Part_1_93_pathology_breast_connective+tissue+cells.png,7
train,Part_1_94_pathology_breast_neoplastic+cells.png,5
train,Part_1_94_pathology_breast_connective+tissue+cells.png,9
train,Part_1_95_pathology_breast_neoplastic+cells.png,24
train,Part_1_95_pathology_breast_inflammatory+cells.png,1
train,Part_1_96_pathology_breast_neoplastic+cells.png,14
train,Part_1_96_pathology_breast_connective+tissue+cells.png,2
test,Part_1_97_pathology_breast_neoplastic+cells.png,13
test,Part_1_97_pathology_breast_inflammatory+cells.png,1
test,Part_1_97_pathology_breast_connective+tissue+cells.png,11
train,Part_1_98_pathology_breast_neoplastic+cells.png,10
train,Part_1_98_pathology_breast_inflammatory+cells.png,2
train,Part_1_98_pathology_breast_connective+tissue+cells.png,4
train,Part_1_99_pathology_breast_neoplastic+cells.png,2
train,Part_1_99_pathology_breast_inflammatory+cells.png,5
train,Part_1_99_pathology_breast_connective+tissue+cells.png,8
train,Part_1_100_pathology_breast_neoplastic+cells.png,10
train,Part_1_100_pathology_breast_connective+tissue+cells.png,11
train,Part_1_101_pathology_breast_neoplastic+cells.png,10
train,Part_1_101_pathology_breast_inflammatory+cells.png,5
train,Part_1_101_pathology_breast_connective+tissue+cells.png,10
train,Part_1_102_pathology_breast_neoplastic+cells.png,11
train,Part_1_102_pathology_breast_connective+tissue+cells.png,13
train,Part_1_103_pathology_breast_connective+tissue+cells.png,8
train,Part_1_103_pathology_breast_epithelial+cells.png,15
train,Part_1_104_pathology_breast_connective+tissue+cells.png,8
train,Part_1_104_pathology_breast_epithelial+cells.png,17
train,Part_1_105_pathology_breast_connective+tissue+cells.png,7
train,Part_1_105_pathology_breast_epithelial+cells.png,24
train,Part_1_106_pathology_breast_connective+tissue+cells.png,4
train,Part_1_106_pathology_breast_epithelial+cells.png,30
train,Part_1_107_pathology_breast_inflammatory+cells.png,2
train,Part_1_107_pathology_breast_connective+tissue+cells.png,9
train,Part_1_107_pathology_breast_epithelial+cells.png,19
train,Part_1_108_pathology_breast_connective+tissue+cells.png,11
train,Part_1_108_pathology_breast_epithelial+cells.png,9
train,Part_1_109_pathology_breast_connective+tissue+cells.png,13
train,Part_1_109_pathology_breast_epithelial+cells.png,13
train,Part_1_110_pathology_breast_connective+tissue+cells.png,7
train,Part_1_110_pathology_breast_epithelial+cells.png,32
train,Part_1_111_pathology_breast_connective+tissue+cells.png,5
train,Part_1_111_pathology_breast_epithelial+cells.png,29
train,Part_1_112_pathology_breast_neoplastic+cells.png,38
train,Part_1_112_pathology_breast_connective+tissue+cells.png,2
test,Part_1_113_pathology_breast_neoplastic+cells.png,28
test,Part_1_113_pathology_breast_connective+tissue+cells.png,2
train,Part_1_114_pathology_breast_neoplastic+cells.png,28
train,Part_1_114_pathology_breast_connective+tissue+cells.png,3
train,Part_1_115_pathology_breast_neoplastic+cells.png,26
train,Part_1_115_pathology_breast_connective+tissue+cells.png,7
train,Part_1_116_pathology_breast_neoplastic+cells.png,49
train,Part_1_116_pathology_breast_inflammatory+cells.png,1
train,Part_1_117_pathology_breast_inflammatory+cells.png,69
train,Part_1_117_pathology_breast_connective+tissue+cells.png,3
test,Part_1_118_pathology_breast_inflammatory+cells.png,36
test,Part_1_118_pathology_breast_connective+tissue+cells.png,14
test,Part_1_119_pathology_breast_neoplastic+cells.png,9
test,Part_1_119_pathology_breast_inflammatory+cells.png,48
test,Part_1_119_pathology_breast_connective+tissue+cells.png,3
train,Part_1_120_pathology_breast_neoplastic+cells.png,2
train,Part_1_120_pathology_breast_inflammatory+cells.png,58
train,Part_1_120_pathology_breast_connective+tissue+cells.png,3
train,Part_1_121_pathology_breast_neoplastic+cells.png,29
train,Part_1_121_pathology_breast_inflammatory+cells.png,2
train,Part_1_121_pathology_breast_connective+tissue+cells.png,5
train,Part_1_122_pathology_breast_neoplastic+cells.png,28
train,Part_1_122_pathology_breast_inflammatory+cells.png,9
train,Part_1_122_pathology_breast_connective+tissue+cells.png,2
train,Part_1_123_pathology_breast_inflammatory+cells.png,1
train,Part_1_123_pathology_breast_connective+tissue+cells.png,11
train,Part_1_123_pathology_breast_epithelial+cells.png,18
train,Part_1_124_pathology_breast_connective+tissue+cells.png,8
train,Part_1_124_pathology_breast_epithelial+cells.png,29
train,Part_1_125_pathology_breast_inflammatory+cells.png,1
train,Part_1_125_pathology_breast_connective+tissue+cells.png,6
train,Part_1_125_pathology_breast_epithelial+cells.png,29
train,Part_1_126_pathology_breast_inflammatory+cells.png,2
train,Part_1_126_pathology_breast_connective+tissue+cells.png,12
train,Part_1_126_pathology_breast_epithelial+cells.png,11
train,Part_1_127_pathology_breast_connective+tissue+cells.png,10
train,Part_1_127_pathology_breast_epithelial+cells.png,22
test,Part_1_128_pathology_breast_inflammatory+cells.png,2
test,Part_1_128_pathology_breast_connective+tissue+cells.png,10
test,Part_1_128_pathology_breast_epithelial+cells.png,27
train,Part_1_129_pathology_breast_inflammatory+cells.png,2
train,Part_1_129_pathology_breast_connective+tissue+cells.png,12
train,Part_1_129_pathology_breast_epithelial+cells.png,35
train,Part_1_130_pathology_breast_inflammatory+cells.png,1
train,Part_1_130_pathology_breast_connective+tissue+cells.png,12
train,Part_1_130_pathology_breast_epithelial+cells.png,6
train,Part_1_131_pathology_breast_inflammatory+cells.png,2
train,Part_1_131_pathology_breast_connective+tissue+cells.png,2
train,Part_1_131_pathology_breast_epithelial+cells.png,45
train,Part_1_132_pathology_breast_connective+tissue+cells.png,17
train,Part_1_132_pathology_breast_epithelial+cells.png,13
train,Part_1_133_pathology_breast_inflammatory+cells.png,1
train,Part_1_133_pathology_breast_connective+tissue+cells.png,3
train,Part_1_133_pathology_breast_epithelial+cells.png,1
test,Part_1_134_pathology_breast_connective+tissue+cells.png,5
test,Part_1_134_pathology_breast_epithelial+cells.png,8
train,Part_1_135_pathology_breast_inflammatory+cells.png,1
train,Part_1_135_pathology_breast_connective+tissue+cells.png,5
train,Part_1_135_pathology_breast_epithelial+cells.png,30
train,Part_1_136_pathology_breast_inflammatory+cells.png,3
train,Part_1_136_pathology_breast_connective+tissue+cells.png,14
train,Part_1_136_pathology_breast_epithelial+cells.png,15
test,Part_1_137_pathology_breast_inflammatory+cells.png,1
test,Part_1_137_pathology_breast_connective+tissue+cells.png,4
test,Part_1_137_pathology_breast_epithelial+cells.png,18
train,Part_1_138_pathology_breast_connective+tissue+cells.png,7
train,Part_1_138_pathology_breast_epithelial+cells.png,29
train,Part_1_139_pathology_breast_connective+tissue+cells.png,2
train,Part_1_139_pathology_breast_epithelial+cells.png,38
train,Part_1_140_pathology_breast_inflammatory+cells.png,1
train,Part_1_140_pathology_breast_connective+tissue+cells.png,9
test,Part_1_141_pathology_breast_neoplastic+cells.png,9
test,Part_1_141_pathology_breast_connective+tissue+cells.png,2
test,Part_1_142_pathology_breast_neoplastic+cells.png,18
test,Part_1_142_pathology_breast_connective+tissue+cells.png,5
train,Part_1_143_pathology_breast_neoplastic+cells.png,26
train,Part_1_143_pathology_breast_inflammatory+cells.png,1
train,Part_1_143_pathology_breast_connective+tissue+cells.png,3
train,Part_1_144_pathology_breast_neoplastic+cells.png,17
train,Part_1_144_pathology_breast_inflammatory+cells.png,1
train,Part_1_144_pathology_breast_connective+tissue+cells.png,2
train,Part_1_145_pathology_breast_neoplastic+cells.png,6
train,Part_1_145_pathology_breast_connective+tissue+cells.png,3
train,Part_1_146_pathology_breast_neoplastic+cells.png,14
train,Part_1_146_pathology_breast_inflammatory+cells.png,2
train,Part_1_146_pathology_breast_connective+tissue+cells.png,2
train,Part_1_147_pathology_breast_neoplastic+cells.png,12
train,Part_1_147_pathology_breast_connective+tissue+cells.png,1
train,Part_1_148_pathology_breast_connective+tissue+cells.png,2
train,Part_1_148_pathology_breast_epithelial+cells.png,15
test,Part_1_149_pathology_breast_epithelial+cells.png,37
test,Part_1_150_pathology_breast_connective+tissue+cells.png,11
test,Part_1_150_pathology_breast_epithelial+cells.png,27
train,Part_1_151_pathology_breast_inflammatory+cells.png,3
train,Part_1_151_pathology_breast_connective+tissue+cells.png,4
train,Part_1_151_pathology_breast_epithelial+cells.png,19
test,Part_1_152_pathology_breast_inflammatory+cells.png,1
test,Part_1_152_pathology_breast_epithelial+cells.png,33
train,Part_1_153_pathology_breast_neoplastic+cells.png,12
train,Part_1_153_pathology_breast_inflammatory+cells.png,4
train,Part_1_154_pathology_breast_neoplastic+cells.png,1
train,Part_1_154_pathology_breast_inflammatory+cells.png,9
train,Part_1_154_pathology_breast_connective+tissue+cells.png,5
train,Part_1_155_pathology_breast_neoplastic+cells.png,8
train,Part_1_155_pathology_breast_inflammatory+cells.png,3
train,Part_1_155_pathology_breast_connective+tissue+cells.png,1
train,Part_1_156_pathology_breast_neoplastic+cells.png,4
train,Part_1_156_pathology_breast_inflammatory+cells.png,7
train,Part_1_156_pathology_breast_connective+tissue+cells.png,5
train,Part_1_157_pathology_breast_neoplastic+cells.png,6
train,Part_1_157_pathology_breast_inflammatory+cells.png,5
train,Part_1_157_pathology_breast_connective+tissue+cells.png,4
train,Part_1_158_pathology_breast_inflammatory+cells.png,1
train,Part_1_158_pathology_breast_connective+tissue+cells.png,5
train,Part_1_159_pathology_breast_inflammatory+cells.png,1
train,Part_1_159_pathology_breast_connective+tissue+cells.png,9
train,Part_1_159_pathology_breast_epithelial+cells.png,8
test,Part_1_160_pathology_breast_inflammatory+cells.png,1
test,Part_1_160_pathology_breast_connective+tissue+cells.png,11
test,Part_1_160_pathology_breast_epithelial+cells.png,9
test,Part_1_161_pathology_breast_inflammatory+cells.png,2
test,Part_1_161_pathology_breast_connective+tissue+cells.png,1
test,Part_1_161_pathology_breast_epithelial+cells.png,30
train,Part_1_162_pathology_breast_inflammatory+cells.png,2
train,Part_1_162_pathology_breast_connective+tissue+cells.png,6
train,Part_1_162_pathology_breast_epithelial+cells.png,24
train,Part_1_163_pathology_breast_inflammatory+cells.png,1
train,Part_1_163_pathology_breast_connective+tissue+cells.png,7
train,Part_1_163_pathology_breast_epithelial+cells.png,15
train,Part_1_164_pathology_breast_inflammatory+cells.png,1
train,Part_1_164_pathology_breast_connective+tissue+cells.png,4
train,Part_1_164_pathology_breast_epithelial+cells.png,2
test,Part_1_165_pathology_breast_inflammatory+cells.png,1
test,Part_1_165_pathology_breast_connective+tissue+cells.png,14
test,Part_1_165_pathology_breast_epithelial+cells.png,5
train,Part_1_166_pathology_breast_connective+tissue+cells.png,5
train,Part_1_166_pathology_breast_epithelial+cells.png,31
test,Part_1_167_pathology_breast_inflammatory+cells.png,2
test,Part_1_167_pathology_breast_connective+tissue+cells.png,7
test,Part_1_167_pathology_breast_epithelial+cells.png,30
train,Part_1_168_pathology_breast_inflammatory+cells.png,4
train,Part_1_168_pathology_breast_connective+tissue+cells.png,12
train,Part_1_168_pathology_breast_epithelial+cells.png,15
train,Part_1_169_pathology_breast_inflammatory+cells.png,1
train,Part_1_169_pathology_breast_connective+tissue+cells.png,10
train,Part_1_169_pathology_breast_epithelial+cells.png,18
train,Part_1_170_pathology_breast_inflammatory+cells.png,1
train,Part_1_170_pathology_breast_connective+tissue+cells.png,3
train,Part_1_170_pathology_breast_epithelial+cells.png,27
train,Part_1_171_pathology_breast_connective+tissue+cells.png,7
train,Part_1_171_pathology_breast_epithelial+cells.png,20
train,Part_1_172_pathology_breast_neoplastic+cells.png,4
train,Part_1_172_pathology_breast_inflammatory+cells.png,1
train,Part_1_172_pathology_breast_connective+tissue+cells.png,1
train,Part_1_173_pathology_breast_neoplastic+cells.png,1
train,Part_1_173_pathology_breast_inflammatory+cells.png,1
train,Part_1_173_pathology_breast_connective+tissue+cells.png,2
train,Part_1_174_pathology_breast_inflammatory+cells.png,1
train,Part_1_174_pathology_breast_connective+tissue+cells.png,3
train,Part_1_174_pathology_breast_epithelial+cells.png,2
test,Part_1_175_pathology_breast_connective+tissue+cells.png,7
test,Part_1_175_pathology_breast_epithelial+cells.png,30
train,Part_1_176_pathology_breast_connective+tissue+cells.png,2
train,Part_1_176_pathology_breast_epithelial+cells.png,28
train,Part_1_177_pathology_breast_inflammatory+cells.png,2
train,Part_1_177_pathology_breast_connective+tissue+cells.png,8
train,Part_1_177_pathology_breast_epithelial+cells.png,18
train,Part_1_178_pathology_breast_inflammatory+cells.png,1
train,Part_1_178_pathology_breast_connective+tissue+cells.png,2
train,Part_1_178_pathology_breast_dead+cells.png,1
train,Part_1_178_pathology_breast_epithelial+cells.png,36
test,Part_1_179_pathology_breast_inflammatory+cells.png,2
test,Part_1_179_pathology_breast_connective+tissue+cells.png,2
test,Part_1_179_pathology_breast_epithelial+cells.png,56
train,Part_1_180_pathology_breast_neoplastic+cells.png,2
train,Part_1_180_pathology_breast_inflammatory+cells.png,2
train,Part_1_180_pathology_breast_connective+tissue+cells.png,5
train,Part_1_181_pathology_breast_neoplastic+cells.png,1
train,Part_1_181_pathology_breast_connective+tissue+cells.png,8
test,Part_1_182_pathology_breast_neoplastic+cells.png,1
test,Part_1_182_pathology_breast_connective+tissue+cells.png,2
test,Part_1_183_pathology_breast_connective+tissue+cells.png,14
train,Part_1_184_pathology_breast_inflammatory+cells.png,2
train,Part_1_184_pathology_breast_connective+tissue+cells.png,17
train,Part_1_184_pathology_breast_epithelial+cells.png,26
train,Part_1_185_pathology_breast_inflammatory+cells.png,6
train,Part_1_185_pathology_breast_connective+tissue+cells.png,2
train,Part_1_185_pathology_breast_epithelial+cells.png,34
train,Part_1_186_pathology_breast_connective+tissue+cells.png,3
train,Part_1_186_pathology_breast_epithelial+cells.png,47
train,Part_1_187_pathology_breast_connective+tissue+cells.png,9
train,Part_1_187_pathology_breast_epithelial+cells.png,40
train,Part_1_188_pathology_breast_inflammatory+cells.png,2
train,Part_1_188_pathology_breast_connective+tissue+cells.png,2
train,Part_1_188_pathology_breast_epithelial+cells.png,42
train,Part_1_189_pathology_breast_inflammatory+cells.png,1
train,Part_1_189_pathology_breast_connective+tissue+cells.png,13
train,Part_1_189_pathology_breast_epithelial+cells.png,36
train,Part_1_190_pathology_breast_inflammatory+cells.png,2
train,Part_1_190_pathology_breast_connective+tissue+cells.png,4
train,Part_1_190_pathology_breast_epithelial+cells.png,28
train,Part_1_191_pathology_breast_inflammatory+cells.png,1
train,Part_1_191_pathology_breast_connective+tissue+cells.png,4
train,Part_1_191_pathology_breast_epithelial+cells.png,18
train,Part_1_192_pathology_breast_epithelial+cells.png,45
train,Part_1_193_pathology_breast_epithelial+cells.png,23
test,Part_1_194_pathology_breast_neoplastic+cells.png,2
test,Part_1_194_pathology_breast_connective+tissue+cells.png,2
test,Part_1_195_pathology_breast_neoplastic+cells.png,11
test,Part_1_195_pathology_breast_connective+tissue+cells.png,1
train,Part_1_196_pathology_breast_neoplastic+cells.png,6
train,Part_1_196_pathology_breast_connective+tissue+cells.png,6
test,Part_1_197_pathology_breast_neoplastic+cells.png,23
test,Part_1_197_pathology_breast_connective+tissue+cells.png,5
train,Part_1_198_pathology_breast_neoplastic+cells.png,8
train,Part_1_198_pathology_breast_inflammatory+cells.png,1
train,Part_1_198_pathology_breast_connective+tissue+cells.png,3
train,Part_1_198_pathology_breast_epithelial+cells.png,1
train,Part_1_199_pathology_breast_neoplastic+cells.png,4
train,Part_1_199_pathology_breast_connective+tissue+cells.png,7
test,Part_1_200_pathology_breast_inflammatory+cells.png,2
test,Part_1_200_pathology_breast_connective+tissue+cells.png,3
test,Part_1_200_pathology_breast_epithelial+cells.png,22
train,Part_1_201_pathology_breast_connective+tissue+cells.png,5
train,Part_1_201_pathology_breast_epithelial+cells.png,51
train,Part_1_202_pathology_breast_inflammatory+cells.png,3
train,Part_1_202_pathology_breast_connective+tissue+cells.png,12
train,Part_1_202_pathology_breast_epithelial+cells.png,12
